network_name,price_past,lr,test_mse_loss,test_mae,test_mape,forecast,sentiment_past
CNN,5,1.623076923076923e-05,590862.7309017979,607.4402605100059,0.0318359896541458,0,-1
CNN,15,9.492307692307692e-05,771232.6199519979,722.428314245445,0.0398968933602963,0,-1
CNN,30,2.6384615384615384e-05,789721.8667971612,697.8729908714158,0.036592558847036,0,-1
GRU,5,7.461538461538462e-05,388032.4236219399,529.9844438377389,0.0296309893596966,0,-1
GRU,15,9.746153846153844e-05,205303.7789662679,368.9858135920699,0.0182192367239379,0,-1
GRU,30,8.984615384615384e-05,120202.53601729144,261.07876670773595,0.0132716594257349,0,-1
LSTM,5,0.0005684615384615,138355.2898060515,274.88264682273,0.0141461034126518,0,-1
LSTM,15,0.0002384615384615,103148.8510412492,238.48374845990145,0.0119883559262086,0,-1
LSTM,30,0.00034,219561.68119876276,368.8373084210723,0.0178894784283572,0,-1
LSTM_GRU,5,1.1153846153846154e-05,1231067.433467619,939.1473792656064,0.0536624676362055,0,-1
LSTM_GRU,15,4.9230769230769225e-05,1569908.19675029,1068.2474553371417,0.0609183501651935,0,-1
LSTM_GRU,30,0.0001,1316893.720995184,1036.5131480081393,0.0576641800402689,0,-1
RNN,5,6.076923076923077e-06,1400020.157412407,1001.133040014561,0.0566503842530748,0,-1
RNN,15,8.73076923076923e-05,853498.8471912306,842.6863740946087,0.0433310234441845,0,-1
RNN,30,9.492307692307692e-05,463853.26940963545,599.5491069761798,0.0310385796692658,0,-1
RNN_GRU,5,9.746153846153844e-05,1244620.586201735,895.8372244156959,0.0433988934620807,0,-1
RNN_GRU,15,7.969230769230769e-05,902445.7704234424,849.2919758531212,0.0462292464461528,0,-1
RNN_GRU,30,6.953846153846154e-05,1049301.6492964586,858.0669837869624,0.0488071047168657,0,-1
