network_name,price_past,lr,test_mse_loss,test_mae,test_mape,val_loss,val_mae,val_mape
CNN,5,1.3692307692307692e-05,529460.5912496004,588.2483718124627,0.03263251883703258,931690.0866071428,719.7330182756697,0.016813786505233675
GRU,5,7.461538461538462e-05,998406.3309417597,820.720606285469,0.04715236636701935,328633.3880580357,420.3561981201172,0.01005407568688194
LSTM,5,0.0005938461538461,599904.163445148,713.9028687836021,0.03867124187421519,271275.2409970238,367.55475347609746,0.008757845853411016
RNN,5,1.623076923076923e-05,1574389.954814961,1061.2401982060185,0.06014490891610308,546770.8822916667,561.0652680896577,0.013588153828112851
LSTM_GRU,5,1.623076923076923e-05,959706.1686001212,793.525649641577,0.045906682106146915,166720.45125558035,273.0775178455171,0.006685269122854585
RNN_GRU,5,8.476923076923077e-05,3718570.8588487357,1701.153247974537,0.0954214081740663,651797.046875,620.0528695242746,0.015380746720447426
CNN,15,6.076923076923077e-06,633382.4367197052,643.5777749775986,0.03586742486078693,1251619.3855654763,838.8799540201823,0.019652704894542693
GRU,15,9.746153846153844e-05,569912.9637890614,604.380949214083,0.034733894844319706,538585.9262276785,537.0497346423921,0.01274171391768115
LSTM,15,0.0001623076923076,525793.5228710311,564.3478685969235,0.03249209146551872,500912.891796875,513.6401681082589,0.012248680310412532
RNN,15,6.953846153846154e-05,1398397.3102597655,984.4310794224164,0.05629295952804637,635105.7447172619,594.682851882208,0.014248713150265671
LSTM_GRU,15,7.969230769230769e-05,695321.0103496452,641.1705484150986,0.037554900462383384,312247.4484095982,385.3811125255766,0.009297976159446296
RNN_GRU,15,7.969230769230769e-05,2967714.5833472246,1478.6974849723715,0.08388640356839555,818805.8622023809,686.1945114862351,0.016581478528678417
CNN,30,1e-06,651334.646374993,632.9846398502838,0.03447381987986394,1676238.0736607143,975.834206717355,0.023059980819622676
GRU,30,9.746153846153844e-05,594728.0847121755,629.1462626941458,0.03601255006070072,732602.4245721726,622.2402144659134,0.014780683074856088
LSTM,30,0.0003653846153846,887864.3228882387,831.0190715539128,0.046466749045240396,574374.55859375,541.887588210333,0.012839874492159911
RNN,30,0.0001,1159527.0275095913,896.0944255432348,0.051133679997900854,733152.4935267858,637.0877169654483,0.015353467741182873
LSTM_GRU,30,9.746153846153844e-05,680533.8056905717,640.9812352990591,0.03739450580507988,345590.54518229165,412.2574490501767,0.009870105046069338
RNN_GRU,30,7.207692307692308e-05,2251782.6310548065,1235.7133573215353,0.07105523871737471,890786.3891369047,708.4058160691034,0.01705383796777044
