network_name,feature,lr,test_mse_loss,test_mae,test_mape,val_loss,val_mae,val_mape
CNN,flair_nonprocessed_data_score,8.476923076923077e-05,569030.5123174759,586.7351528679653,0.03106605783300812,1703197.97108477,989.4557954634744,0.0228326926971304
GRU,flair_nonprocessed_data_score,5.176923076923076e-05,638855.205630623,612.4934628088924,0.03427979602584655,601591.5228987068,578.402404258991,0.013670071413547829
LSTM,flair_nonprocessed_data_score,0.0002638461538461,220697.98075874956,360.3811820774711,0.019932316195258686,491912.3217717313,515.0490566560592,0.012137878568436223
RNN,flair_nonprocessed_data_score,9.492307692307692e-05,1066656.0700621116,820.9109637107684,0.04554506900725674,605835.5235272988,586.6269306752873,0.014007544701640633
LSTM_GRU,flair_nonprocessed_data_score,3.146153846153846e-05,360405.85229993105,430.61118297934706,0.024430622801344223,260282.9636875898,356.63656660058035,0.008516726972556662
RNN_GRU,flair_nonprocessed_data_score,7.461538461538462e-05,2116597.154155126,1180.6908890805375,0.0655412811896682,878644.6417025862,711.0581886028422,0.016860137008473105
CNN,textblob_nonprocessed_data_polarity_score,2.1307692307692308e-05,474830.55849920964,548.3891932720057,0.028276507109085695,1119733.4919181035,806.5851324673357,0.019093703778310753
GRU,textblob_nonprocessed_data_polarity_score,8.73076923076923e-05,636434.4843581613,629.6039313334235,0.034977329316503686,566888.8943965518,556.6950203029588,0.013347909309440988
LSTM,textblob_nonprocessed_data_polarity_score,8.615384615384615e-05,507520.8347935697,549.7252646442099,0.030650634577500863,578611.6429597702,559.6534572908248,0.013295483293718305
RNN,textblob_nonprocessed_data_polarity_score,0.0001,1590805.8691076525,1002.6784601032648,0.05600789383779596,646916.5129310344,614.0915050287356,0.014773616074830636
LSTM_GRU,textblob_nonprocessed_data_polarity_score,9.492307692307692e-05,460922.08684992825,478.373600683171,0.027356092364535532,304118.9453686243,390.22872249559424,0.0093974313998445
RNN_GRU,textblob_nonprocessed_data_polarity_score,8.73076923076923e-05,2494276.5572258974,1325.3065349364178,0.07285313627109663,830594.7510775862,695.304711002043,0.016718312423547793
CNN,textblob_nonprocessed_data_subjectivity_score,4.161538461538461e-05,518404.40425583813,568.508890523539,0.031041879318035294,927252.2363505748,719.3907868834748,0.016623320636050456
GRU,textblob_nonprocessed_data_subjectivity_score,8.223076923076923e-05,531893.3603006393,578.1051291373557,0.03215981454051601,533550.834680316,540.8979823671539,0.012852044037446893
LSTM,textblob_nonprocessed_data_subjectivity_score,0.0001115384615384,393090.439874294,513.2671567798521,0.027905216386999956,553291.987428161,552.5376548328619,0.013184238321565348
RNN,textblob_nonprocessed_data_subjectivity_score,5.6846153846153845e-05,1180076.45741054,884.5148119025072,0.04888199710066754,607895.9021192528,586.2512010596264,0.013972984295038656
LSTM_GRU,textblob_nonprocessed_data_subjectivity_score,9.746153846153844e-05,281548.41153355385,390.6200946406025,0.022154860299389838,222154.0121565194,329.885759726338,0.00782807401231565
RNN_GRU,textblob_nonprocessed_data_subjectivity_score,9.238461538461538e-05,2091495.7762812108,1190.612800719246,0.06596263189510032,818541.3459051724,680.1344078327047,0.016110701829023744
CNN,vader_nonprocessed_data_score,3.538461538461538e-06,524525.0365164456,563.2996609510282,0.02952995623128783,1059826.086566092,789.4777404083603,0.018792738292323447
GRU,vader_nonprocessed_data_score,8.223076923076923e-05,797670.8451287131,715.2999005118146,0.039448959374200024,597196.8238146552,575.2727143737092,0.013815306833591955
LSTM,vader_nonprocessed_data_score,0.0002638461538461,1271806.1847215958,870.5890729279402,0.048754892265910184,545080.8045079022,547.0654191641972,0.013109499048013454
RNN,vader_nonprocessed_data_score,6.446153846153846e-05,1189242.2352032186,889.9857912270022,0.04887657758397358,743581.0298132184,652.4388876728627,0.015616487176425156
LSTM_GRU,vader_nonprocessed_data_score,7.207692307692308e-05,666429.097879897,628.0390357255592,0.03510319009555675,315497.2026311063,398.8476808043732,0.009677505795041034
RNN_GRU,vader_nonprocessed_data_score,7.969230769230769e-05,2622010.597979393,1384.1169718952922,0.07546533015428543,895973.9942528736,725.2447383485992,0.017454984854778338
CNN,bert_nonprocessed_data_sentiment_score,8.984615384615384e-05,1489041.394574742,978.4689740597944,0.054921024009131986,1979002.4540229884,1046.8804475630836,0.02398513464107253
GRU,bert_nonprocessed_data_sentiment_score,7.969230769230769e-05,448396.5648138478,527.262534665855,0.029079611042156204,559847.8468929598,556.3411882773213,0.013236426914260647
LSTM,bert_nonprocessed_data_sentiment_score,0.0002638461538461,1196163.2334059677,823.1072316355519,0.04632259549447236,525763.4185524426,538.9110381027748,0.012930336301268518
RNN,bert_nonprocessed_data_sentiment_score,8.223076923076923e-05,859791.0063252305,747.6231892022907,0.041175892886496424,650183.9797952586,604.7245241362473,0.01433422435717336
LSTM_GRU,bert_nonprocessed_data_sentiment_score,6.192307692307693e-05,254410.5071832511,365.60806023403677,0.020719549543665495,269267.6963788614,363.13056998417295,0.008636781375790978
RNN_GRU,bert_nonprocessed_data_sentiment_score,9.238461538461538e-05,2925781.990939026,1435.2448071676588,0.07913945393465706,832141.6849856322,694.0366568729795,0.016583905062884433
CNN,roberta_nonprocessed_data_sentiment_score,3.538461538461538e-06,564473.8036581868,586.496953350469,0.03111789916522789,1011963.6113505748,764.265234585466,0.0180243127390571
GRU,roberta_nonprocessed_data_sentiment_score,6.446153846153846e-05,405298.9543364003,506.34351184839466,0.027734525621798338,596925.0076329022,576.7479149829383,0.013754238278187555
LSTM,roberta_nonprocessed_data_sentiment_score,0.0001115384615384,958296.3454130704,771.7338042816558,0.0426194080325894,566811.7462284482,562.5929660139412,0.013478646707860217
RNN,roberta_nonprocessed_data_sentiment_score,6.446153846153846e-05,1154789.614546755,867.4973042365621,0.04782280061707756,743855.0757902298,653.8675077591819,0.01563219941253292
LSTM_GRU,roberta_nonprocessed_data_sentiment_score,6.446153846153846e-05,422801.6348266051,475.0538349454365,0.026982135091220882,284290.2295932112,379.3854466580797,0.008965744628924233
RNN_GRU,roberta_nonprocessed_data_sentiment_score,8.73076923076923e-05,1968596.360019315,1164.2843065137988,0.06409619131721361,980169.3963721264,752.5662003440418,0.017859195059315228
