network_name,feature,lr,test_mse_loss,test_mae,test_mape,val_loss,val_mae,val_mape
CNN,flair_processed_data_score,8.615384615384615e-06,547877.3955944896,582.4866376346386,0.030642217332387024,2657379.284742647,1216.9733883128447,0.028202892642687348
GRU,flair_processed_data_score,9.746153846153844e-05,563595.3408715061,577.494202021311,0.03231556838848105,819937.1667279411,665.0700805664062,0.015870392662199105
LSTM,flair_processed_data_score,0.0002638461538461,923348.044625728,699.6356504541883,0.039539621050053514,748796.1461397059,630.684872975069,0.015149008411475842
RNN,flair_processed_data_score,9.492307692307692e-05,1082458.682865662,836.7606477455274,0.04646321622235976,875270.5840992647,697.9116261201747,0.016779253609916743
LSTM_GRU,flair_processed_data_score,8.984615384615384e-05,475946.4870656482,505.2535190920858,0.028757855707463347,527878.6540441177,512.556941133387,0.012241162677459857
RNN_GRU,flair_processed_data_score,8.984615384615384e-05,1721384.8842110266,1048.3816456089357,0.058632850321750266,1146861.7226102941,804.3750052059398,0.019138360735686387
CNN,textblob_processed_data_polarity_score,6.076923076923077e-06,938805.2661017244,772.262035482734,0.04210964340879168,2684676.849264706,1215.0515589096967,0.028050012185293086
GRU,textblob_processed_data_polarity_score,8.223076923076923e-05,562696.5562863322,584.6556434405626,0.03239976149861778,804962.4116727941,656.3347412109375,0.01579861153355416
LSTM,textblob_processed_data_polarity_score,0.0002384615384615,773440.1161907128,621.6539985611594,0.03471710379703863,757745.9872242647,628.392450130687,0.015106747611699736
RNN,textblob_processed_data_polarity_score,7.969230769230769e-05,1776889.181325337,1076.3751477123012,0.05953006921287835,988399.625,750.0386715159697,0.018174997925320093
LSTM_GRU,textblob_processed_data_polarity_score,8.476923076923077e-05,878971.2390284792,700.8879497460359,0.039745527792676524,587064.2606387867,532.991250520594,0.012990879642722362
RNN_GRU,textblob_processed_data_polarity_score,9.238461538461538e-05,2725624.2175242407,1378.278197519878,0.07600498891582977,1176737.759742647,822.7116914636948,0.019920443743467332
CNN,textblob_processed_data_subjectivity_score,8.615384615384615e-06,349546.6354994915,470.8043128019254,0.024904605358723308,2395679.267463235,1153.0457478242763,0.02653505313484108
GRU,textblob_processed_data_subjectivity_score,7.969230769230769e-05,648598.0142591126,643.7719677806606,0.03550102171307628,785358.5912683824,646.9468003216912,0.015598657814895405
LSTM,textblob_processed_data_subjectivity_score,0.0003653846153846,2164266.620502901,1176.5027581389838,0.06577721890613172,719994.432398897,621.837890625,0.015146008703638525
RNN,textblob_processed_data_subjectivity_score,9.238461538461538e-05,1210111.3676042727,896.2758272611178,0.049592513422972176,903049.0685661765,704.2866424560547,0.01691289917730233
LSTM_GRU,textblob_processed_data_subjectivity_score,9.238461538461538e-05,603608.3671761237,565.6674866083811,0.03240294043605351,509945.9621323529,499.37348246854896,0.012012996513615636
RNN_GRU,textblob_processed_data_subjectivity_score,9.492307692307692e-05,2013731.635056445,1160.1149656758505,0.06454851703126584,1038823.0242647058,772.3192971622243,0.018503150508246
CNN,vader_processed_data_score,8.615384615384615e-06,484661.364324265,547.6513594226724,0.02909501036560196,2698986.164522059,1217.6396839815027,0.02801093555548612
GRU,vader_processed_data_score,8.984615384615384e-05,665069.3342848558,637.3518913314188,0.03530853315164919,781964.6532169117,651.0970733642578,0.015777521416106645
