,network_name,mae_5_100,feature,mae_15_100,mae_30_100,mae_5_500,mae_15_500,mae_30_500
0,CNN,607.4402605100059,Price-Only,722.428314245445,697.8729908714158,580.3796622983871,596.8742194500448,593.2291036626344
1,GRU,529.9844438377389,Price-Only,368.9858135920699,261.07876670773595,569.2638317185633,828.1113689609468,670.4896451706243
2,LSTM,274.88264682273,Price-Only,238.48374845990145,368.8373084210723,650.0176002930855,958.9583555014189,452.6779152199074
3,LSTM_GRU,939.1473792656064,Price-Only,1068.2474553371417,1036.5131480081393,813.4888167842741,716.2823525705645,647.7595544448178
4,RNN,1001.133040014561,Price-Only,842.6863740946087,599.5491069761798,1007.9791795008214,1091.4897011742084,872.9377881851105
5,RNN_GRU,895.8372244156959,Price-Only,849.2919758531212,858.0669837869624,1768.391578227673,1459.767387946162,1416.542778571162
6,CNN,678.8904947089422,Bert,465.4853980654762,430.2099859348336,508.8916028033672,978.4689740597944,406.61412449338735
7,CNN,685.2059045425667,Flair,593.2720691851551,460.1403650277304,398.51109707552416,586.7351528679653,488.1146644357936
8,CNN,568.4188894734752,Roberta,568.5918292861652,556.8134532316553,463.1583135621824,586.496953350469,641.1237401343857
9,CNN,690.1549594980941,TB_Polarity,539.163391729798,441.0226475842577,693.2800748987453,548.3891932720057,627.2735974829352
10,CNN,597.6737400234276,TB_Subjectivity,479.2184794372295,467.85182413875856,673.3242721072903,568.508890523539,374.0212177367748
11,CNN,795.7703663536372,Vader,606.8398367040945,508.45708457764505,676.8675907818456,563.2996609510282,411.1991504239548
12,GRU,639.1890982369758,Bert,422.88244470373377,433.4912142704778,759.0978870513025,527.262534665855,453.7458904383532
13,GRU,604.974175071474,Flair,518.0443455199314,408.4191486241468,616.0833118249682,612.4934628088924,414.1695219176621
14,GRU,602.4602091109434,Roberta,529.6732348597583,463.8409003039676,701.7633318773825,506.34351184839466,364.2182400543942
15,GRU,558.6066947268107,TB_Polarity,428.8423253179113,365.625126653157,639.338650035737,629.6039313334235,605.1784976269198
16,GRU,537.7920405813214,TB_Subjectivity,456.0258006966992,372.78128332977815,716.101733739676,578.1051291373557,510.8923181527304
17,GRU,555.1889307199016,Vader,489.154281374008,424.0059093696672,738.3177563135324,715.2999005118146,463.14288475895904
18,LSTM,461.07225197546063,Bert,408.3703609758297,299.2019917875427,1091.6042378097204,823.1072316355519,325.791015625
19,LSTM,308.0610481853558,Flair,389.463444433171,376.0431787276024,817.2310494758577,360.3811820774711,487.57594523250856
20,LSTM,461.8127370056385,Roberta,403.6894446699134,427.870207177901,372.4756752799397,771.7338042816558,314.034396331058
21,LSTM,492.00113167090217,TB_Polarity,456.4824965615981,293.89146157743176,756.9516434045426,549.7252646442099,535.29032903157
22,LSTM,488.6645799416296,TB_Subjectivity,404.2091971613456,428.28155996693687,614.723055809244,513.2671567798521,319.1282063246587
23,LSTM,453.00988350738567,Vader,265.5331185741342,216.346299728029,795.9593417447586,870.5890729279402,909.2735141584898
24,LSTM_GRU,809.1209646998094,Bert,816.2131428684163,677.6481108681741,520.9600118130559,365.6080602340368,529.0031996587031
25,LSTM_GRU,854.2539831837674,Flair,850.7708262874279,600.7691412915956,593.42661511277,430.6111829793471,337.37399677367745
26,LSTM_GRU,782.0944225500318,Roberta,818.6314695504149,694.2129139558447,519.4871123530813,475.0538349454365,344.1736981388652
27,LSTM_GRU,797.4145265843392,TB_Polarity,790.6641850987554,783.444879212884,512.7060807457116,478.373600683171,403.0760585537543
28,LSTM_GRU,877.479937658831,TB_Subjectivity,874.9055496369949,643.0830944699233,481.8635170147713,390.6200946406025,398.12701645157847
29,LSTM_GRU,867.5870096092757,Vader,849.587613016324,670.3008845723123,608.3389428804003,628.0390357255592,699.1338857188566
30,RNN,898.8726795783036,Bert,443.3749253134019,514.3789412462671,967.4478314604512,747.6231892022907,732.6833637745307
31,RNN,819.6474770687738,Flair,435.3489259221681,445.025208977709,986.5352058846888,820.9109637107684,648.7391378252986
32,RNN,938.5152403311628,Roberta,511.16570701433983,509.5625666595563,1003.0492400929162,867.4973042365621,619.8098402837031
33,RNN,1007.9661814048602,TB_Polarity,470.5928763077201,462.0153017011519,1089.100334041455,1002.6784601032648,699.8599882679181
34,RNN,878.0529577310991,TB_Subjectivity,495.6506203215188,474.925419621907,1049.7663397395172,884.5148119025072,670.5749520051195
35,RNN,878.1642486300826,Vader,509.6366412450397,482.6474142758106,998.8313165104828,889.9857912270022,636.2992114174488
36,RNN_GRU,797.8252437063214,Bert,526.4204601821789,779.1115347696245,1689.4588627700127,1435.2448071676588,1029.7840063726535
37,RNN_GRU,939.5230429042248,Flair,541.2332603377525,979.2921521704352,1485.6812758100382,1180.6908890805375,941.4954304874146
38,RNN_GRU,765.8211265088945,Roberta,583.0660370445527,685.3844356601962,1661.0819493527636,1164.2843065137988,909.9896677687714
39,RNN_GRU,738.1390329673602,TB_Polarity,548.928695436508,543.7707911156143,1792.6068634847522,1325.3065349364178,1016.1195139185154
40,RNN_GRU,740.2727016657401,TB_Subjectivity,748.6570645066739,667.2179267544795,1597.8600053605464,1190.612800719246,893.7189499786689
41,RNN_GRU,949.7183380320838,Vader,686.2966396667568,622.1040655663396,1813.317016756671,1384.1169718952922,1043.0978795595136
