,network_name,mae_5_100,feature,mae_15_100,mae_30_100,mae_5_500,mae_15_500,mae_30_500
0,CNN,607.4402605100059,Price-Only,722.428314245445,697.8729908714158,580.3796622983871,596.8742194500448,593.2291036626344
1,GRU,529.9844438377389,Price-Only,368.9858135920699,261.07876670773595,569.2638317185633,828.1113689609468,670.4896451706243
2,LSTM,274.88264682273,Price-Only,238.48374845990145,368.8373084210723,650.0176002930855,958.9583555014189,452.6779152199074
3,LSTM_GRU,939.1473792656064,Price-Only,1068.2474553371417,1036.5131480081393,813.4888167842741,716.2823525705645,647.7595544448178
4,RNN,1001.133040014561,Price-Only,842.6863740946087,599.5491069761798,1007.9791795008214,1091.4897011742084,872.9377881851105
5,RNN_GRU,895.8372244156959,Price-Only,849.2919758531212,858.0669837869624,1768.391578227673,1459.767387946162,1416.542778571162
6,CNN,659.0164584672236,Bert,635.353619637574,537.9469728315754,607.0005673602185,606.9085801705806,453.6146698271993
7,CNN,656.5695932579531,Flair,606.460728030233,402.3435624018178,512.9467384318766,702.0092498959874,407.060192717684
8,CNN,574.8777602325674,Roberta,669.8449793708395,604.3619715692325,513.4400556314267,612.7416602140347,594.5295738891382
9,CNN,687.1449341761729,TB_Polarity,601.6820682322485,486.3099297295781,572.474925690874,744.5283159786427,679.6654966618044
10,CNN,742.3958981864556,TB_Subjectivity,525.0675099389792,500.5827115125673,506.8265660146208,683.0588956753883,439.4406453377469
11,CNN,806.6865372449389,Vader,692.8504501433063,499.11829029679086,429.6875464432037,456.6035084019046,362.6124607271095
12,GRU,628.6163967103149,Bert,477.9918509037537,336.7532084548923,610.5466239556555,473.0494940943972,395.9396600089767
13,GRU,609.8795313504178,Flair,434.449445555196,381.15128127805207,610.292534443284,591.2355985923632,387.3425648002693
14,GRU,583.5348223610218,Roberta,473.00570191152,356.5276277771544,642.44553843991,512.1895499144786,343.6010926279174
15,GRU,650.973537415649,TB_Polarity,456.7800697462093,335.4754263913824,654.2330243814267,544.9149538299741,552.7621465439856
16,GRU,599.9405376365681,TB_Subjectivity,483.7227068116679,372.0387223687163,791.1037265022494,604.7106962486132,496.3670332136445
17,GRU,589.8949956820372,Vader,488.9301136626294,360.171075516158,555.9313682418863,714.7550547221708,441.5858638633304
18,LSTM,353.9464861323104,Bert,358.88961810049926,368.2753485469031,716.2588970115681,789.8290278869267,222.41692731710052
19,LSTM,463.9402087684769,Flair,381.3408910988351,307.1773206070467,679.5325679828085,827.6714748405141,517.7601828994614
20,LSTM,408.4454568504981,Roberta,485.2489295372597,327.771263464991,571.5132250160668,823.5829196907359,326.7794511613555
21,LSTM,394.1888368111343,TB_Polarity,278.2635563054734,230.6773065810144,444.5340365922236,1045.888008794841,225.359641494614
22,LSTM,441.802028940392,TB_Subjectivity,435.1905091415496,306.8898746072711,421.23107376687017,498.6678083972818,317.2011052513465
23,LSTM,354.2158843288078,Vader,321.70265983265534,327.7938208314632,705.0426700072301,740.6556735969859,595.4138766550718
24,LSTM_GRU,796.3764234214332,Bert,756.5401185165496,575.3210453601885,431.3632034262532,328.40488772420485,241.34285584043985
25,LSTM_GRU,797.1230669585476,Flair,733.1435099043084,597.8626676110862,552.1927543581298,499.5595197508321,372.7585173081239
26,LSTM_GRU,771.2911662516067,Roberta,771.2524168477256,502.3409237544884,449.8519491082905,456.5642812153291,208.95706280857272
27,LSTM_GRU,873.2329892352185,TB_Polarity,812.8455774431397,675.3732923305655,513.7672517673521,458.6786690435466,394.2683986478905
28,LSTM_GRU,835.1196150988111,TB_Subjectivity,826.334699461446,717.2573005498205,578.435230559126,422.7835743921043,382.7412021712298
29,LSTM_GRU,869.7413967103149,Vader,709.9657870862611,537.3254565473519,518.3986835234576,462.701886961446,570.0049546959157
30,RNN,874.7329114114717,Bert,511.9099568925666,485.13839486086175,945.4889515383998,819.2435237726517,649.4075719535458
31,RNN,800.3219279703567,Flair,472.15342576969306,457.3568362881508,901.0006702883998,833.2319177029401,591.5759684975314
32,RNN,904.500479494698,Roberta,533.5339774408284,535.7378534560144,991.50608531491,1024.706264157267,625.4394811770646
33,RNN,951.728407675932,TB_Polarity,617.3736825073964,509.19956589429984,1068.895010744698,946.4709877149592,735.650878029623
34,RNN,893.7263943002893,TB_Subjectivity,541.6896987102441,519.1962347116248,954.2955419545308,880.1173594096708,625.9809491416069
35,RNN,893.8744050249036,Vader,613.4464898645525,510.9967284279623,937.6192184487468,880.9116658769416,653.9815207024237
36,RNN_GRU,776.6773163861665,Bert,570.2998841415496,591.9332045276033,1663.2493322220437,1255.2706508297892,851.7399854129264
37,RNN_GRU,865.857136939669,Flair,517.6176021056767,616.7760779005835,1600.946997007551,1232.6022689187314,860.2920430318671
38,RNN_GRU,766.2751295388817,Roberta,531.3645005085059,699.1268409167415,1578.0270374758998,1094.2856055265347,730.649948804982
39,RNN_GRU,1035.0083309065712,TB_Polarity,618.4103628305288,687.9612636052514,1701.2583346722363,1415.2590187569342,1050.156302597621
40,RNN_GRU,842.92457874759,TB_Subjectivity,583.529662363628,693.6412737039947,1719.8356011005783,1139.2788851585617,871.2970433123878
41,RNN_GRU,873.1177448184447,Vader,672.7064375115569,585.8969858056553,1654.1831719955012,1260.0329560951368,946.592908438061
