,network_name,mae_15_100,feature,mae_30_100,mae_15_500,mae_30_500
0,CNN,635.2459075089139,Price-Only,541.7570618477916,594.214681135426,699.9288420500578
1,GRU,607.9861030897644,Price-Only,373.4964755661029,549.9301537590072,976.9831173986802
2,LSTM,694.7275591887881,Price-Only,804.3936500686044,987.6452525878324,931.135228092098
3,LSTM_GRU,1083.0698927648036,Price-Only,1016.9374100150744,850.8352731866506,758.6159091890214
4,RNN,808.1637524384894,Price-Only,745.2336748093545,1125.8025427377352,1050.05678880115
5,RNN_GRU,1031.6001438883754,Price-Only,1067.1345341726872,1365.0257998595243,972.7563456144528
6,CNN,587.5322689981856,Bert,532.6865387784728,484.1229018713596,586.6590939972089
7,CNN,595.3112480569873,Flair,548.2207616398535,582.4866376346386,626.2701387525246
8,CNN,631.1739669890094,Roberta,577.9729177040086,628.5379326272998,547.8314390884482
9,CNN,578.6699686445428,TB_Polarity,493.0289111591113,772.262035482734,502.66571713349975
10,CNN,581.0332663270849,TB_Subjectivity,565.7198915875365,470.8043128019254,657.147058565698
11,CNN,614.8619857878375,Vader,517.3496306332053,547.6513594226724,516.397769510211
12,GRU,485.3023239226031,Bert,343.86658876374554,471.04105950530464,353.4711957893851
13,GRU,496.7167094755455,Flair,356.46875,577.494202021311,389.8382070873541
14,GRU,483.5113104645317,Roberta,372.3706975145871,591.9311434954582,414.0691987453714
15,GRU,451.6907507540912,TB_Polarity,302.78969936952984,584.6556434405626,400.8466051742033
16,GRU,574.8244087174094,TB_Subjectivity,341.1840044497588,643.7719677806606,588.1446105847452
17,GRU,491.06522762140577,Vader,331.90428394475146,637.3518913314188,536.6469016494614
18,LSTM,604.5609295184796,Bert,695.2518746668817,762.7268720096386,755.5083994017897
19,LSTM,599.1364466198803,Flair,620.971640239284,699.6356504541883,431.7448879495344
20,LSTM,520.8246674848026,Roberta,513.3334875466365,1227.1905340612288,573.9605092677009
21,LSTM,427.2425008017636,TB_Polarity,438.0104358063566,621.6539985611594,475.1781981106935
22,LSTM,443.2950421395386,TB_Subjectivity,641.3275657119614,1176.5027581389838,773.6921185094535
23,LSTM,445.448888835117,Vader,507.3370854430824,685.1103911089474,767.0876767280072
24,LSTM_GRU,696.6342731904701,Bert,488.12530287463534,509.05302438228085,473.2976153115182
25,LSTM_GRU,797.4716471835707,Flair,604.377600514054,505.2535190920858,646.3739454176953
26,LSTM_GRU,755.5250917694273,Roberta,448.7214916510042,427.5157728928786,253.99185744992707
27,LSTM_GRU,836.8677156888522,TB_Polarity,664.2726125939744,700.8879497460359,506.4418200179533
28,LSTM_GRU,864.430155195428,TB_Subjectivity,796.104311602334,565.6674866083811,368.5859782631564
29,LSTM_GRU,724.8140594662999,Vader,553.5143832578266,784.7398670805982,346.8083583756452
30,RNN,530.9175902598002,Bert,494.2920228694457,808.6277866702108,610.0948668228232
31,RNN,570.4445735773392,Flair,536.3392921324478,836.7606477455274,548.7401830923194
32,RNN,591.4911284136349,Roberta,567.9075000701301,938.6194078795304,706.3132013016158
33,RNN,619.045971029609,TB_Polarity,538.5900874523115,1076.3751477123012,678.5974441062613
34,RNN,589.0580231254622,TB_Subjectivity,541.5930644776705,896.2758272611178,695.1230315340272
35,RNN,623.9653818706083,Vader,523.2693197637315,959.5799771822416,655.7522126065978
36,RNN_GRU,600.3070969440528,Bert,828.2628382027042,1069.8955684865016,818.3295232200965
37,RNN_GRU,721.8628502117812,Flair,902.2952764706296,1048.3816456089355,936.494472428327
38,RNN_GRU,630.6676677274986,Roberta,948.3713146600088,1148.2549658780972,915.521063155717
39,RNN_GRU,613.9716265977487,TB_Polarity,773.7920960678018,1378.278197519878,956.1736953160064
40,RNN_GRU,620.4694277069273,TB_Subjectivity,729.2405758212242,1160.1149656758505,849.395396919182
41,RNN_GRU,600.4054218721108,Vader,651.3116672043312,1133.2341745591025,832.3880477165619
