network_name,feature,lr,test_mse_loss,test_mae,test_mape
CNN,flair_processed_data_score,1e-06,3090087.481870894,1434.0807007558246,0.07522054676756265
CNN,flair_processed_data_score,3.538461538461538e-06,965760.6723491285,770.9232112726517,0.04033438347912431
CNN,flair_processed_data_score,6.076923076923077e-06,1039407.0807943118,821.3651520317122,0.042544499691364805
CNN,flair_processed_data_score,8.615384615384615e-06,1262120.9153572624,881.0658948548447,0.046260759969192496
CNN,flair_processed_data_score,1.1153846153846154e-05,1562376.237571767,994.7280735715607,0.04996920270227397
CNN,flair_processed_data_score,1.3692307692307692e-05,1066859.8286942365,834.3931386372042,0.04185825658094785
CNN,flair_processed_data_score,1.623076923076923e-05,1368991.0766307334,938.2798877242049,0.04644047545112839
CNN,flair_processed_data_score,1.876923076923077e-05,883149.0805202066,758.5891792252219,0.03766446297369433
CNN,flair_processed_data_score,2.1307692307692308e-05,3886502.9010593933,1729.2737553161983,0.08469262653214378
CNN,flair_processed_data_score,2.3846153846153846e-05,1772418.8238799023,1128.9601025101701,0.0558916523098307
CNN,flair_processed_data_score,2.6384615384615384e-05,2043082.434571887,1193.5139709111502,0.05832990597096236
CNN,flair_processed_data_score,2.8923076923076925e-05,2062252.7037494592,1190.5082372180104,0.05847740638204651
CNN,flair_processed_data_score,3.146153846153846e-05,2991592.422106506,1477.6119637573966,0.07125524049647189
CNN,flair_processed_data_score,3.4e-05,3584690.4558262345,1665.7945144924186,0.08135183173244352
CNN,flair_processed_data_score,3.653846153846154e-05,2426840.1558669163,1284.4538328633505,0.062056963409132235
CNN,flair_processed_data_score,3.9076923076923075e-05,1957248.911613532,1192.8027993828587,0.05849222760668545
CNN,flair_processed_data_score,4.161538461538461e-05,2679584.8948064838,1369.278547117696,0.06473267307496866
CNN,flair_processed_data_score,4.415384615384615e-05,643658.1114568542,637.5775457077477,0.032591191414933655
CNN,flair_processed_data_score,4.669230769230769e-05,1081818.2173506324,815.7209891595784,0.041688746653299004
CNN,flair_processed_data_score,4.9230769230769225e-05,2648392.0412312173,1357.6505697577663,0.06381090192180044
CNN,flair_processed_data_score,5.176923076923076e-05,1475406.1868376308,995.2977634407359,0.05205046125122179
CNN,flair_processed_data_score,5.430769230769231e-05,2439234.8066152143,1314.0569179918639,0.06389354885176593
CNN,flair_processed_data_score,5.6846153846153845e-05,2155435.3265377753,1201.2323149731878,0.056457564526988135
CNN,flair_processed_data_score,5.938461538461538e-05,3196053.3835391887,1504.4039386094676,0.07084892020776411
CNN,flair_processed_data_score,6.192307692307693e-05,1689021.6861788959,1064.3155958186944,0.050244264619872005
CNN,flair_processed_data_score,6.446153846153846e-05,1159839.8934709448,834.3279603134246,0.04306469371079687
